"id","region_id","experiment_id","start_datetime","stop_datetime","monitor","status","Sex","Genotype","Temperature","Treatment","Environment","Light"
"2019-08-20 10:01:00|Monitor21.txt|04",4,"2019-08-20 10:01:00|Monitor21.txt",2019-08-20T10:01:00Z,2019-08-23T10:20:00Z,"M21","OK","M","CS","21.5C","Iso","5D","""12:12"""
"2019-08-20 10:01:00|Monitor21.txt|05",5,"2019-08-20 10:01:00|Monitor21.txt",2019-08-20T10:01:00Z,2019-08-23T10:20:00Z,"M21","OK","M","CS","21.5C","Iso","5D","""12:12"""
"2019-08-20 10:01:00|Monitor21.txt|06",6,"2019-08-20 10:01:00|Monitor21.txt",2019-08-20T10:01:00Z,2019-08-23T10:20:00Z,"M21","OK","M","CS","21.5C","Iso","5D","""12:12"""
"2019-08-20 10:01:00|Monitor21.txt|07",7,"2019-08-20 10:01:00|Monitor21.txt",2019-08-20T10:01:00Z,2019-08-23T10:20:00Z,"M21","OK","M","CS","21.5C","Iso","5D","""12:12"""
"2019-08-20 10:01:00|Monitor21.txt|08",8,"2019-08-20 10:01:00|Monitor21.txt",2019-08-20T10:01:00Z,2019-08-23T10:20:00Z,"M21","OK","M","CS","21.5C","Iso","5D","""12:12"""
"2019-08-20 10:01:00|Monitor21.txt|09",9,"2019-08-20 10:01:00|Monitor21.txt",2019-08-20T10:01:00Z,2019-08-23T10:20:00Z,"M21","OK","M","CS","21.5C","Iso","5D","""12:12"""
"2019-08-20 10:01:00|Monitor21.txt|10",10,"2019-08-20 10:01:00|Monitor21.txt",2019-08-20T10:01:00Z,2019-08-23T10:20:00Z,"M21","OK","M","CS","21.5C","Iso","5D","""12:12"""
"2019-08-20 10:01:00|Monitor21.txt|11",11,"2019-08-20 10:01:00|Monitor21.txt",2019-08-20T10:01:00Z,2019-08-23T10:20:00Z,"M21","OK","M","CS","21.5C","Iso","5D","""12:12"""
"2019-08-20 10:01:00|Monitor21.txt|12",12,"2019-08-20 10:01:00|Monitor21.txt",2019-08-20T10:01:00Z,2019-08-23T10:20:00Z,"M21","OK","M","CS","21.5C","Iso","5D","""12:12"""
"2019-08-20 10:01:00|Monitor21.txt|13",13,"2019-08-20 10:01:00|Monitor21.txt",2019-08-20T10:01:00Z,2019-08-23T10:20:00Z,"M21","OK","M","CS","21.5C","Iso","5D","""12:12"""
