file,monitor,region_id,status,start_datetime,stop_datetime,Sex,Genotype,Temperature,Treatment,Environment,Light
Monitor50.txt,M50,12,OK,2019-08-20 10:01:00,2019-08-23 10:20:00,M,SIP-L2-1,21.5C,Iso,5D,12:12
Monitor50.txt,M50,13,OK,2019-08-20 10:01:00,2019-08-23 10:20:00,M,SIP-L2-1,21.5C,Iso,5D,12:12
Monitor50.txt,M50,14,OK,2019-08-20 10:01:00,2019-08-23 10:20:00,M,SIP-L2-1,21.5C,Iso,5D,12:12
Monitor50.txt,M50,15,OK,2019-08-20 10:01:00,2019-08-23 10:20:00,M,SIP-L2-1,21.5C,Iso,5D,12:12
Monitor50.txt,M50,16,OK,2019-08-20 10:01:00,2019-08-23 10:20:00,M,SIP-L2-1,21.5C,Iso,5D,12:12
Monitor50.txt,M50,17,OK,2019-08-20 10:01:00,2019-08-23 10:20:00,M,SIP-L2-1,21.5C,Iso,5D,12:12
Monitor50.txt,M50,18,OK,2019-08-20 10:01:00,2019-08-23 10:20:00,M,SIP-L2-1,21.5C,Iso,5D,12:12
Monitor50.txt,M50,19,OK,2019-08-20 10:01:00,2019-08-23 10:20:00,M,SIP-L2-1,21.5C,Iso,5D,12:12
Monitor50.txt,M50,20,OK,2019-08-20 10:01:00,2019-08-23 10:20:00,M,SIP-L2-1,21.5C,Iso,5D,12:12
Monitor50.txt,M50,21,OK,2019-08-20 10:01:00,2019-08-23 10:20:00,M,SIP-L2-1,21.5C,Iso,5D,12:12
Monitor50.txt,M50,22,OK,2019-08-20 10:01:00,2019-08-23 10:20:00,M,SIP-L2-1,21.5C,Iso,5D,12:12
Monitor50.txt,M50,23,OK,2019-08-20 10:01:00,2019-08-23 10:20:00,M,SIP-L2-1,21.5C,Iso,5D,12:12
Monitor50.txt,M50,24,OK,2019-08-20 10:01:00,2019-08-23 10:20:00,M,SIP-L2-1,21.5C,Iso,5D,12:12
Monitor50.txt,M50,25,OK,2019-08-20 10:01:00,2019-08-23 10:20:00,M,SIP-L2-1,21.5C,Iso,5D,12:12
Monitor50.txt,M50,26,OK,2019-08-20 10:01:00,2019-08-23 10:20:00,M,SIP-L2-1,21.5C,Iso,5D,12:12
Monitor50.txt,M50,27,OK,2019-08-20 10:01:00,2019-08-23 10:20:00,M,SIP-L2-1,21.5C,Iso,5D,12:12
Monitor50.txt,M50,28,OK,2019-08-20 10:01:00,2019-08-23 10:20:00,M,SIP-L2-1,21.5C,Iso,5D,12:12
Monitor50.txt,M50,29,OK,2019-08-20 10:01:00,2019-08-23 10:20:00,M,SIP-L2-1,21.5C,Iso,5D,12:12
Monitor50.txt,M50,30,OK,2019-08-20 10:01:00,2019-08-23 10:20:00,M,SIP-L2-1,21.5C,Iso,5D,12:12
Monitor50.txt,M50,31,OK,2019-08-20 10:01:00,2019-08-23 10:20:00,M,SIP-L2-1,21.5C,Iso,5D,12:12
