file,monitor,region_id,status,start_datetime,stop_datetime,sex,genotype,temp,treatment
Monitor47.txt,M47,19,OK,2024-11-22 09:05:00,2024-11-30 09:05:00,M,SIP_S1_1 8:16,21.5C,SIP_S1_1 8:16
Monitor47.txt,M47,20,OK,2024-11-22 09:05:00,2024-11-30 09:05:00,M,SIP_S1_1 8:16,21.5C,SIP_S1_1 8:16
Monitor47.txt,M47,21,OK,2024-11-22 09:05:00,2024-11-30 09:05:00,M,SIP_S1_1 8:16,21.5C,SIP_S1_1 8:16
Monitor47.txt,M47,22,OK,2024-11-22 09:05:00,2024-11-30 09:05:00,M,SIP_S1_1 8:16,21.5C,SIP_S1_1 8:16
Monitor47.txt,M47,23,OK,2024-11-22 09:05:00,2024-11-30 09:05:00,M,SIP_S1_1 8:16,21.5C,SIP_S1_1 8:16
Monitor47.txt,M47,24,OK,2024-11-22 09:05:00,2024-11-30 09:05:00,M,SIP_S1_1 8:16,21.5C,SIP_S1_1 8:16
Monitor47.txt,M47,25,OK,2024-11-22 09:05:00,2024-11-30 09:05:00,M,SIP_S1_1 8:16,21.5C,SIP_S1_1 8:16
Monitor47.txt,M47,26,OK,2024-11-22 09:05:00,2024-11-30 09:05:00,M,SIP_S1_1 8:16,21.5C,SIP_S1_1 8:16
Monitor47.txt,M47,27,OK,2024-11-22 09:05:00,2024-11-30 09:05:00,M,SIP_S1_1 8:16,21.5C,SIP_S1_1 8:16
Monitor47.txt,M47,28,OK,2024-11-22 09:05:00,2024-11-30 09:05:00,M,SIP_S1_1 8:16,21.5C,SIP_S1_1 8:16
Monitor47.txt,M47,29,OK,2024-11-22 09:05:00,2024-11-30 09:05:00,M,SIP_S1_1 8:16,21.5C,SIP_S1_1 8:16
Monitor47.txt,M47,30,OK,2024-11-22 09:05:00,2024-11-30 09:05:00,M,SIP_S1_1 8:16,21.5C,SIP_S1_1 8:16
Monitor47.txt,M47,31,OK,2024-11-22 09:05:00,2024-11-30 09:05:00,M,SIP_S1_1 8:16,21.5C,SIP_S1_1 8:16
Monitor47.txt,M47,32,OK,2024-11-22 09:05:00,2024-11-30 09:05:00,M,SIP_S1_1 8:16,21.5C,SIP_S1_1 8:16
Monitor46.txt,M46,1,OK,2024-11-22 09:05:00,2024-11-30 09:05:00,M,SIP_S1_2 12:12,21.5C,SIP_S1_2 12:12
Monitor46.txt,M46,2,OK,2024-11-22 09:05:00,2024-11-30 09:05:00,M,SIP_S1_2 12:12,21.5C,SIP_S1_2 12:12
